country,cluster group,policy type,policy detail,Reference
Spain,dark blue,lockdown,"""Spain under lockdown due to concentration of cases"" - many feminist groups have warned of an increase in male violence during the lockdown, when female victims of gender-based violence had to live with their perpetrators. This has resulted in more violence and more calls/letters for help than in previous years, leading to an increase in the block search index in Spain.",https://scielosp.org/article/gs
Spain,dark blue,mask,"According to Travel Safe, Spain's official travel website, travelers visiting Spain, as well as the country's citizens, no longer need to wear fake masks when visiting different outdoor and indoor venues.",https://www.schengenvisainfo.com/news/spain-lifts-face-mask-requirement/
Spain,dark blue,wfh,"Companies must (i) adopt ventilation, cleaning and disinfection measures in workplaces, (ii) provide soap and water to employees, or hydroalcoholic gels or disinfectants, (iii) adapt working conditions in order to guarantee a distance of 1.5 metres between employees, (iv) adopt measures to avoid large gatherings of people, and (v) adopt measures for the progressive reincorporation of employees to the workplace, and the promotion of home working where feasible.",https://www.twobirds.com/en/insights/2020/spain/covid19-guidance-for-employers-in-spain
Switzerland,light blue,lockdown,"The government announced that no complete lockdown would be implemented, but all events or meetings over 5 people were prohibited. Economic activities would continue including construction",https://www.business-standard.com/article/international/75-of-s-korean-firms-to-continue-remote-work-scheme-even-after-covid-121121600390_1.html
Switzerland,light blue,mask,"The government has announced that all remaining pandemic restrictions will be lifted. This includes mask requirements for public transport and mandatory five-day quarantine requirements

masks and COVID certificates will no longer be required to enter shops, restaurants, cultural venues and other public settings and events.
","https://www.swissinfo.ch/eng/covid-19_coronavirus--the-situation-in-switzerland/45592192

https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-87216.html"
Switzerland,light blue,wfh,"Recommendation to work from home lifted - employers still responsible for protection. The recommendation issued by the FOPH to work from home is also lifted. Employers are therefore free to determine whether staff should work from home or wear masks in the workplace. However, under employment law, they are required to take the necessary steps to protect staff .",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-87216.html
Thailand,red,lockdown,"The Centre for COVID-19 Situation Administration (CCSA) will not impose any additional measures amid rising COVID-19 infections.",https://www.thaipbsworld.com/no-new-covid-restrictions-in-thailand-only-strict-enforcement-of-existing-measures/
Thailand,red,mask,"Face masks are required in public places in Thailand, and those who do not wear a mask can face fines, which can go up to 20,000 baht for repeated offences.",https://thethaiger.com/coronavirus/mask-up-pm-prayut-says-thailands-mask-mandate-is-still-in-effect
Thailand,red,wfh,"20% of Thai companies work from home, they use a hybrid work model where employees can choose to work from home or come to the office for a meeting or seminar",https://www.pwc.com/th/en/press-room/press-release/2020/press-release-26-08-20-en.html
Turkey,red,lockdown,"Health Minister Fahrettin Koca stated that Turkey does not intend to implement any further lockdowns or closures to manage the pandemic's reach, instead placing ""great importance on individual precautions ... particularly vaccinations,"" as he answered questions from the press after the Cabinet meeting at the Presidential Complex.",https://www.dailysabah.com/turkey/turkey-plans-no-lockdowns-in-new-covid-19-period-minister-koca/news
Turkey,red,mask,"Turkey lifted one of its last remaining COVID-19 restrictions, the wearing of masks in crowded indoor locations.",https://www.usnews.com/news/health-news/articles/2022-04-26/turkey-lifts-wearing-of-masks-inside-as-covid-19-cases-fall
Turkey,red,wfh,"Global COVID-19 pandemic, which has been going on for over a year now, had inevitable impacts on the business life. During the pandemic, various measures have been taken into place at workplaces to fight this outbreak. Remote working was one of the most prominent measures of all. It is beyond question that remote working model will maintain its significance at workplaces even after the pandemic.",https://iclg.com/briefing/16733-remote-working-in-the-new-normal-after-covid-19-turkey
United Arab Emirates,red,lockdown,"The United Arab Emirates does not intend to return to a full lockdown despite a rise in Covid-19 cases, and will focus on testing and vaccination to keep its economy open, its trade minister said.",https://www.bloomberg.com/news/articles/2022-01-13/uae-urges-return-to-normal-and-vows-no-virus-lockdown
United Arab Emirates,red,mask,"All business activities, tourist attractions and events in the city and eponymous emirate can now return to 100% operating capacity. However, the wearing of face masks will still be required indoors, the Abu Dhabi Government Media Office said in a statement, citing Abu Dhabi's Emergency, Crisis and Disasters Committee.",https://www.al-monitor.com/originals/2022/04/abu-dhabi-removes-covid-19-related-capacity-restrictions-masks-remain
United Arab Emirates,red,wfh,"Pre-Covid remote working was not particularly prevalent. However, the UAE government, in an effort to combat the spread of Covid-19, implemented a number of working from home regulations, directives and guidelines. Many of these protocols continue to be adopted by employers meaning that a large proportion of the workforce continue to work from home, whether exclusively or in part.",https://www.tamimi.com/law-update-articles/new-ways-of-working-in-the-uae-the-impact-of-the-pandemic/
United Kingdom,dark blue,lockdown,"People should remain 1m apart in retail and shopping centres, indoor hospitality settings, indoor visitor attractions and on public transport, where possible. People who have tested positive for coronavirus must isolate for 10 days. People may end self-isolation if they have two negative tests on day five and six.","https://www.instituteforgovernment.org.uk/explainers/coronavirus-lockdown-rules-four-nations-uk#:~:text=a%202m%20distance.-,People%20should%20remain%201m%20apart%20in%20retail%20and%20shopping%20centres,on%20public%20transport%2C%20where%20possible.&text=Self%2Disolating%20rules-,People%20who%20have%20tested%20positive%20for%20coronavirus%20must%20isolate%20for,on%20day%20five%20and%20six."
United Kingdom,dark blue,mask,"Mandatory on public transport and in indoor public settings. Face masks must be worn in secondary schools.","https://www.instituteforgovernment.org.uk/explainers/coronavirus-lockdown-rules-four-nations-uk#:~:text=a%202m%20distance.-,People%20should%20remain%201m%20apart%20in%20retail%20and%20shopping%20centres,on%20public%20transport%2C%20where%20possible.&text=Self%2Disolating%20rules-,People%20who%20have%20tested%20positive%20for%20coronavirus%20must%20isolate%20for,on%20day%20five%20and%20six."
United Kingdom,dark blue,wfh,"UK governments in all regions are not compulsory to WFH, but they recommend WFH.","https://www.instituteforgovernment.org.uk/explainers/coronavirus-lockdown-rules-four-nations-uk#:~:text=a%202m%20distance.-,People%20should%20remain%201m%20apart%20in%20retail%20and%20shopping%20centres,on%20public%20transport%2C%20where%20possible.&text=Self%2Disolating%20rules-,People%20who%20have%20tested%20positive%20for%20coronavirus%20must%20isolate%20for,on%20day%20five%20and%20six."
United States,dark blue,lockdown,"U.S. (overview) At the height of restrictions, more than 310 million Americans were instructed to go from ""shelter-in-place"" to ""stay at home.""",https://www.usatoday.com/storytelling/coronavirus-reopening-america-map/
United States,dark blue,mask,"The U.S. Centers for Disease Control and Prevention (CDC) continues to recommend that people wear a face mask in indoor public transportation settings, but they aren't required to be worn in airport settings or on your flight unless an individual jurisdiction has these requirements.","https://www.aa.com/i18n/travel-info/coronavirus-updates.jsp#:~:text=Face%20masks,individual%20jurisdiction%20has%20these%20requirements."
United States,dark blue,wfh,"According to a new Pew Research Centre survey.and more than half say, given a choice, they would want to keep working from home even after the pandemic.",https://www.pewresearch.org/social-trends/2020/12/09/how-the-coronavirus-outbreak-has-and-hasnt-changed-the-way-americans-work/
Vietnam,green,lockdown,"Vietnam will lift the lockdown in its largest city, ending nearly three months of restrictions on movement to curb a coronavirus surge.",https://www.aljazeera.com/news/2021/9/30/vietnam-to-end-covid-lockdown-in-ho-chi-minh-city
Vietnam,green,mask,"In Vietnam, wearing a mask has become familiar to all people in daily life before the covid-19 pandemic. Although the Western people do not like to wear masks, but in Vietnam and Japan, many people use them every day.",https://www.sakurahotel.net/en/the-current-situation-of-wearing-masks-in-vietnam-amid-the-covid-19-pandemic/
Vietnam,green,wfh,"As Vietnam is likely to adopt a ""new normal"" and shift its strategy from ""zero outbreaks"", large gatherings of employees in offices should be avoided as much as possible, both in terms of infection risk and because many employees must rely on heavily restricted public transport tools to reach the office. The risk of infection is highest in public settings. If possible, your business needs to reduce employee travel during this time.",https://www.vietnam-briefing.com/news/covid-19-transitioning-business-remote-work-vietnam.html/
